tid,max_dir,min_dist,max_dist,avg_dir,min_dir,max_speed,min_speed,avg_speed,avg_dist,id,label
1,90.0,0.0,19350.8,5.84423073237905,0.0,5.25,0.0,4.08243588312792,9392.92191236447,1,Fishing
2,86.63,1243.19,16123.3,21.8744442587097,0.33,4.58,0.63,3.30138889948527,7011.45190429688,2,NotFishing
3,22.62,4584.64,14073.2,14.2133334477743,2.63,4.78,4.68,4.71666669845581,10340.7999674479,3,NotFishing
4,131.82,111.18,18885.0,26.0730555206537,0.13,4.75,0.15,3.00361112463805,6790.23664198981,4,NotFishing
5,52.19,11108.8,15963.1,49.6649990081787,47.14,4.43,4.41,4.41999983787537,13535.9350585938,5,NotFishing
6,117.18,1423.97,14725.8,30.7444119926761,0.44,4.51,1.09,3.3479411777328,7445.91204474954,6,NotFishing
7,81.69,3229.75,18806.3,6.62571441080599,0.0,4.92,2.23,4.36261904239655,9886.16683523996,7,Fishing
8,140.01,801.59,14642.4,37.1039390094353,0.73,4.59,0.22,3.36090908899452,6933.79909261068,8,NotFishing
9,49.61,1025.11,15082.3,21.5712499562651,0.21,4.76,0.5,3.69125002622604,7996.10627746582,9,NotFishing
10,158.52,1893.58,16563.8,30.2581821201426,0.46,4.69,1.65,3.46272726131208,7478.34301387902,10,NotFishing
11,26.25,3270.0,17173.8,7.36166664958,0.32,4.54,4.29,4.39333327611287,10299.9098307292,11,NotFishing
12,159.39,2250.02,16169.2,25.6310344766183,0.05,4.61,0.63,3.46896555094883,8321.66717739763,12,Fishing
13,60.33,3903.46,14550.1,29.0187504887581,5.03,4.75,3.67,4.0725000500679,9495.32000732422,13,NotFishing
14,86.3,2686.89,12933.1,35.7060006141663,7.48,4.27,3.53,4.01200003623962,7404.17602539062,14,NotFishing
15,142.26,2893.2,15563.7,21.9376921080626,0.2,4.45,1.89,3.46230769615907,7984.76501464844,15,Fishing
16,33.05,3379.37,11831.8,12.0542855156319,0.0,4.33,3.67,4.13714286259242,7189.62709263393,16,NotFishing
17,119.56,1445.41,17206.2,20.0194284209183,0.15,4.82,1.23,3.66885714871543,7289.3351109096,17,NotFishing
18,140.25,896.36,12837.2,41.7399997115135,1.14,4.55,0.34,3.23300006091595,6249.32899169922,18,NotFishing
19,161.25,1809.27,17059.1,24.5041379764162,2.08,4.59,0.54,3.38827588434877,7773.28927296606,19,Fishing
20,18.66,2049.82,15671.8,7.37571436166763,0.68,4.76,2.63,4.05142859050206,8499.31427873884,20,NotFishing
21,148.34,458.41,16161.1,29.8890624539927,0.4,4.89,0.64,3.28468748368323,7708.11313915253,21,NotFishing
22,2.83,6095.39,11084.8,2.14499998092651,1.46,4.3,4.23,4.26500010490417,8590.09497070312,22,NotFishing
23,156.06,555.97,16452.3,22.6394870930757,0.31,4.69,0.37,3.445641040802,7311.38308794071,23,Fishing
24,164.57,7793.27,10969.1,56.0300024350484,0.0,4.48,3.05,3.99000000953674,9004.71012369792,24,NotFishing
25,130.09,2468.88,19062.2,22.3008823719095,0.28,5.04,1.25,3.67088235827053,8048.60027717142,25,NotFishing
26,22.31,5539.51,17367.1,6.83199992459267,0.03,5.1,4.22,4.6460000038147,11733.4599609375,26,NotFishing
27,151.93,3075.47,15266.5,27.3394997656345,1.03,4.39,2.63,3.82250001430511,9507.50604248047,27,Fishing
28,63.28,2786.46,17123.6,12.9599997932091,0.2,4.7,2.01,4.23749995231628,10437.8637390137,28,NotFishing
29,158.83,2192.92,17797.6,27.7416000252962,0.15,4.71,0.57,3.68079998254776,9350.18326171875,29,Fishing
